"","Q06_scored_sub_Assoc.1.22.","Q06_scored_sub_Bacca.1.22.","Q06_scored_sub_Master.1.22.","Q06_scored_sub_Doc.1.22."
"Q06_Faculty.Issue...No.Expertise..Training",14,50,42,32
"Q06_Faculty.Issue...Time",5,28,18,17
"Q06_Faculty.Issue...Not.enough.Faculty.members",1,23,7,9
"Q06_Faculty.Issues...Interest.in.Topic",4,9,8,7
"Q06_Curriculum.Issue...Course.Load.Full..No.time.space.for.Content",11,12,13,12
"Q06_Curric.Isues..Curric.Revision.needed",6,5,8,6
"Q06_Curric.Isues...Bioinf.approaches.need.to.be.taugh.at.every.level.integrate.current.classes",3,6,6,5
"Q06_Curic.Issues...Bioinf.Program.Courses.under.develop",5,9,3,1
"Q06_Curric.Isues...Not.a.req.for.Life.Sci.Majors..Pre.Med",1,3,2,6
"Q06_Curric.Issue...Class.Size.too.large",0,1,1,2
"Q06_Curric.Issues...Not.enough.classes.seats.available",0,0,1,2
"Q06_Student.issue...Lack.of.Student.interest.in.quant.skills.and.related.courses",7,10,9,9
"Q06_Student.Issues...Student.Background.is.insufficient",5,9,7,7
"Q06_Inst.Dept.Support...Institutional.Inertia",6,4,7,7
"Q06_Inst.Dept.Support...Inter.Departmental.Cooperation",1,7,4,3
"Q06_Inst.Dept.Support...IT.Supprt",0,2,3,0
"Q06_Inst.Dept.Support...State.Regulation",2,0,0,0
"Q06_Resource.Issue...Funding",8,7,6,2
"Q06_Resource.Issues...Access.to.Approp.Software..Op.sys",2,3,2,3
"Q06_Resources...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",1,1,1,1
"Q06_Facilities...Computer.Labs..Laq.Equip.limited.or.not.available",2,6,8,2
"Q06_Facilities...Servers",0,1,1,0
