"","Var1","Var2","value","summed_score","percentage"
"1","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0,1,0
"2","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0,1,0
"3","Q38_scored_sub_Master.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",1,1,100
"4","Q38_scored_sub_Doc.1.28.","Q38_Curric.Issues...Content.needs.to.be.introduced.in.multiple.courses",0,1,0
"5","Q38_scored_sub_Assoc.1.28.","Q38_Resource.Issues..TA.s.lack.approp.skils",0,1,0
"6","Q38_scored_sub_Bacca.1.28.","Q38_Resource.Issues..TA.s.lack.approp.skils",0,1,0
"7","Q38_scored_sub_Master.1.28.","Q38_Resource.Issues..TA.s.lack.approp.skils",0,1,0
"8","Q38_scored_sub_Doc.1.28.","Q38_Resource.Issues..TA.s.lack.approp.skils",1,1,100
"9","Q38_scored_sub_Assoc.1.28.","Q38_State.restrictions",1,1,100
"10","Q38_scored_sub_Bacca.1.28.","Q38_State.restrictions",0,1,0
"11","Q38_scored_sub_Master.1.28.","Q38_State.restrictions",0,1,0
"12","Q38_scored_sub_Doc.1.28.","Q38_State.restrictions",0,1,0
"13","Q38_scored_sub_Assoc.1.28.","Q38_Not.accredited",1,1,100
"14","Q38_scored_sub_Bacca.1.28.","Q38_Not.accredited",0,1,0
"15","Q38_scored_sub_Master.1.28.","Q38_Not.accredited",0,1,0
"16","Q38_scored_sub_Doc.1.28.","Q38_Not.accredited",0,1,0
"17","Q38_scored_sub_Assoc.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0,2,0
"18","Q38_scored_sub_Bacca.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",0,2,0
"19","Q38_scored_sub_Master.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1,2,50
"20","Q38_scored_sub_Doc.1.28.","Q38_Faculty.Issues...Faculty.is.new.to.current.Dept",1,2,50
"21","Q38_scored_sub_Assoc.1.28.","Q38_Inst.Dept.Issues...Institutional.Inertia",0,3,0
"22","Q38_scored_sub_Bacca.1.28.","Q38_Inst.Dept.Issues...Institutional.Inertia",1,3,33.3333333333333
"23","Q38_scored_sub_Master.1.28.","Q38_Inst.Dept.Issues...Institutional.Inertia",1,3,33.3333333333333
"24","Q38_scored_sub_Doc.1.28.","Q38_Inst.Dept.Issues...Institutional.Inertia",1,3,33.3333333333333
"25","Q38_scored_sub_Assoc.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",0,4,0
"26","Q38_scored_sub_Bacca.1.28.","Q38_Curric.Issue...Bioinfo.Conent.too.Massive",1,4,25
